,Time_VendasTotalIndustria,Returns_VendasTotalIndustria
0,2012-11-01,0.00166944946954109
1,2012-12-01,0.007478223467245915
2,2013-01-01,0.0
3,2013-02-01,0.0008274721200325075
4,2013-03-01,0.0008267879759940311
5,2013-04-01,-0.004140792666031318
6,2013-05-01,0.0008295313623752909
7,2013-06-01,0.008257685238981571
8,2013-07-01,0.0016433857437300192
9,2013-08-01,0.005730674708985112
10,2013-09-01,0.019402387146750327
11,2013-10-01,0.006384698464669575
12,2013-11-01,0.001589825454099747
13,2013-12-01,0.007911433670040519
14,2014-01-01,0.0007877117382493748
15,2014-02-01,0.010184185162999404
16,2014-03-01,0.019298167401507665
17,2014-04-01,0.002290951746555747
18,2014-05-01,-0.012279509630061747
19,2014-06-01,-0.011650617219975179
20,2014-07-01,-0.010208176592523877
21,2014-08-01,0.0
22,2014-09-01,-0.0015797791595184574
23,2014-10-01,0.0
24,2014-11-01,0.021119283180926485
25,2014-12-01,0.003091192569672996
26,2015-01-01,0.0023121397583796277
27,2015-02-01,0.0038417258159986756
28,2015-03-01,0.012952562035726978
29,2015-04-01,0.010542266312024595
30,2015-05-01,0.002244669853823933
31,2015-06-01,0.004474280394921093
32,2015-07-01,0.005934735519814549
33,2015-08-01,0.004428051515732057
34,2015-09-01,0.019687110502797367
35,2015-10-01,0.023547288470633865
36,2015-11-01,0.014005831188919349
37,2015-12-01,0.00347102049287884
38,2016-01-01,0.015813323672725865
39,2016-02-01,0.008828580264203079
40,2016-03-01,0.003374961016525846
41,2016-04-01,0.002691791665711596
42,2016-05-01,0.015338746879702159
43,2016-06-01,0.020308591850535185
44,2016-07-01,-0.007812539736793522
45,2016-08-01,0.004564729152114644
46,2016-09-01,0.0
47,2016-10-01,0.0006504065269938297
48,2016-11-01,0.0
49,2016-12-01,0.010349380862003155
50,2017-01-01,0.003853569315990013
51,2017-02-01,-0.0012828738128891626
52,2017-03-01,-0.007731997283326353
53,2017-04-01,-0.020255511203897847
54,2017-05-01,-0.010617219840871661
55,,
